Age,From State,To State,Probability
41,7.00000,7.00000,1.00000
41,5.00000,5.00000,1.00000
41,6.00000,6.00000,1.00000
41,22.00000,22.00000,1.00000
41,24.00000,24.00000,1.00000
41,28.00000,28.00000,1.00000
41,20.00000,20.00000,1.00000
41,26.00000,26.00000,1.00000
41,31.00000,31.00000,1.00000
41,30.00000,30.00000,1.00000
41,3.00000,3.00000,1.00000
41,27.00000,27.00000,1.00000
41,14.00000,14.00000,1.00000
41,17.00000,17.00000,1.00000
41,19.00000,19.00000,1.00000
41,9.00000,9.00000,1.00000
41,10.00000,10.00000,1.00000
41,36.00000,36.00000,1.00000
41,23.00000,23.00000,1.00000
41,25.00000,25.00000,1.00000
41,39.00000,39.00000,1.00000
41,32.00000,32.00000,1.00000
41,12.00000,12.00000,1.00000
41,21.00000,21.00000,1.00000
41,11.00000,11.00000,1.00000
41,29.00000,29.00000,1.00000
41,2.00000,2.00000,1.00000
41,16.00000,16.00000,1.00000
41,13.00000,13.00000,1.00000
41,15.00000,15.00000,1.00000
41,38.00000,38.00000,1.00000
41,35.00000,35.00000,1.00000
41,33.00000,33.00000,1.00000
41,18.00000,18.00000,1.00000
41,8.00000,8.00000,1.00000
41,34.00000,34.00000,1.00000
41,4.00000,4.00000,1.00000
41,37.00000,37.00000,1.00000
41,1.00000,1.00000,1.00000
41,0.00000,0.00000,1.00000
41,40.00000,40.00000,1.00000
42,7.00000,31.00000,0.03750
42,7.00000,5.00000,0.31250
42,7.00000,34.00000,0.15417
42,7.00000,4.00000,0.24167
42,7.00000,33.00000,0.13750
42,7.00000,32.00000,0.11667
42,5.00000,3.00000,0.45989
42,5.00000,27.00000,0.15508
42,5.00000,25.00000,0.12834
42,5.00000,26.00000,0.12299
42,5.00000,4.00000,0.05348
42,5.00000,24.00000,0.06417
42,5.00000,23.00000,0.01604
42,6.00000,4.00000,0.51220
42,6.00000,31.00000,0.06829
42,6.00000,28.00000,0.17073
42,6.00000,29.00000,0.10244
42,6.00000,30.00000,0.13171
42,6.00000,27.00000,0.01463
42,22.00000,64.00000,0.23123
42,22.00000,14.00000,0.22523
42,22.00000,15.00000,0.29129
42,22.00000,65.00000,0.25225
42,24.00000,16.00000,0.48896
42,24.00000,67.00000,0.43218
42,24.00000,68.00000,0.06940
42,24.00000,66.00000,0.00946
42,28.00000,72.00000,0.25073
42,28.00000,19.00000,0.46647
42,28.00000,71.00000,0.28280
42,20.00000,13.00000,0.53416
42,20.00000,62.00000,0.33230
42,20.00000,61.00000,0.13354
42,26.00000,69.00000,0.30351
42,26.00000,18.00000,0.22045
42,26.00000,17.00000,0.27157
42,26.00000,70.00000,0.20447
42,31.00000,22.00000,0.06625
42,31.00000,74.00000,0.31546
42,31.00000,21.00000,0.43218
42,31.00000,75.00000,0.18612
42,30.00000,73.00000,0.27964
42,30.00000,74.00000,0.18845
42,30.00000,21.00000,0.19757
42,30.00000,20.00000,0.33435
42,3.00000,18.00000,0.10112
42,3.00000,2.00000,0.49438
42,3.00000,15.00000,0.15730
42,3.00000,17.00000,0.12360
42,3.00000,16.00000,0.04494
42,3.00000,19.00000,0.06742
42,3.00000,14.00000,0.01124
42,27.00000,18.00000,0.49045
42,27.00000,71.00000,0.23885
42,27.00000,19.00000,0.03185
42,27.00000,70.00000,0.23885
42,14.00000,9.00000,0.52454
42,14.00000,52.00000,0.17791
42,14.00000,51.00000,0.23313
42,14.00000,50.00000,0.06442
42,17.00000,57.00000,0.24214
42,17.00000,11.00000,0.58491
42,17.00000,56.00000,0.09119
42,17.00000,58.00000,0.08176
42,19.00000,13.00000,0.20923
42,19.00000,60.00000,0.35077
42,19.00000,61.00000,0.13538
42,19.00000,12.00000,0.28615
42,19.00000,59.00000,0.01846
42,9.00000,39.00000,0.18373
42,9.00000,40.00000,0.17771
42,9.00000,6.00000,0.47590
42,9.00000,38.00000,0.14458
42,9.00000,5.00000,0.01807
42,10.00000,6.00000,0.29254
42,10.00000,7.00000,0.17910
42,10.00000,41.00000,0.17612
42,10.00000,43.00000,0.11343
42,10.00000,42.00000,0.23284
42,10.00000,40.00000,0.00597
42,36.00000,79.00000,0.19149
42,36.00000,78.00000,0.33333
42,36.00000,25.00000,0.43972
42,36.00000,26.00000,0.03546
42,23.00000,66.00000,0.40974
42,23.00000,15.00000,0.40401
42,23.00000,16.00000,0.09456
42,23.00000,65.00000,0.09169
42,25.00000,16.00000,0.10030
42,25.00000,68.00000,0.33739
42,25.00000,17.00000,0.40122
42,25.00000,69.00000,0.16109
42,39.00000,80.00000,0.29412
42,39.00000,81.00000,0.23529
42,39.00000,28.00000,0.20588
42,39.00000,27.00000,0.26471
42,32.00000,75.00000,0.42800
42,32.00000,22.00000,0.50000
42,32.00000,76.00000,0.07200
42,12.00000,8.00000,0.40741
42,12.00000,47.00000,0.21937
42,12.00000,7.00000,0.07692
42,12.00000,48.00000,0.13960
